entity,qno,label,help,name,clabel,type,valdn,flow,crossFlow,crossCheck,lookup,lookup_label,image,dynamic_dropdown
householdDeath,2,Age at the time of death? (in completed years),,age,age,select_text,"between[1:99],required",,,,,,,
householdDeath,3,Gender of the deceased?,,gender,gender,select,required,,,,,,,
householdDeath,4,"If female, was this death for any of the following reasons?",,reasonWomenDeath,reasonWomenDeath,select,"between[10:49],required",data.gender=='Female' && data.age_value>10 && data.age_unit=='Years',,,,,,
hhContact,1,What is the primary contact person’s permanent contact address?,,,,heading,,,,,,,,
hhContact,2,Street name,,nameStreet,,text,,,,,,,,
hhContact,3,Landmark,,landmark,,text,required,,,,,,,
hhContact,4,What is the primary contact person’s permanent contact Mobile Number?,,mobile1,,text,"number,rangelength[10:10],required",,,,,,,
hhContact,5,Please provide a second Mobile Number of the primary contact person?,,mobile2,,text,"number,rangelength[10:10]",,,,,,,
hhContact,6,Please name a second contact person for reference?,,secondPersonName,,text,"alpha,minlength[3],required",,,,,,,
hhContact,7,What is the permanent contact address of the second contact person?,,,,heading,,,,,,,,
hhContact,8,House No. (or) NS- No.,,houseNsNo2,,text,number,,,,,,,
hhContact,9,Street name,,nameStreet2,,text,,,,,,,,
hhContact,10,Landmark,,landmark2,,text,,,,,,,,
hhContact,11,What is the second contact person’s permanent contact Mobile Number?,,secondPersonMobile,,text,"number,rangelength[10:10]",,,,,,,
hcVisit,1,Respondent’s Availability,,,,heading,,,,,,,,
hcVisit,2,GPS Codes:,,gps,,gps,required,,,,,,,
hcVisit,3,Household Visit,,hhVisit,hhVisit,select,required,,,,,,,
hcVisit,4,"If refused to participate, please provide reason",,reasonRefuse,,text,required,data.hhVisit=='Refused to participate',,,,,,
hcMember,1,Basic Information,,basicInf,,heading,,,,,,,,
hcMember,2,Detailed consent form signed,,consentStatus,clabel1,select,required,data.hhVisit=='Available',,,,,,
hcMember,3,"If no, please provide a reason for no consent",,noConsent,,text,required,data.consentStatus=='No',,,,,,
hcMember,4,Relationship with the head of the Family: ,,relationship,relationshipMale,select,required,,hcHeadCountMaleWithSelf,,,headOfHousehold,,
hcMember,5,Relationship with the head of the Family: ,,relationship,relationshipMaleNoSelf,select,required,,hcHeadCountMale,,,,,
hcMember,6,Relationship with the head of the Family: ,,relationship,relationshipFemale,select,required,,hcHeadCountFemaleWithSelf,,,headOfHousehold,,
hcMember,7,Relationship with the head of the Family: ,,relationship,relationshipFemaleNoSelf,select,required,,hcHeadCountFemale,,,,,
memberPhoto,1,Please take a photo of the respondent for verification,,photoStatusInd,clabel20,select,required,,,,,,,
memberPhoto,2,If not taken please specify why?,,reasonNoPhotoInd,clabel18,select,required,data.photoStatusInd=='Not taken',,,,,,
memberPhoto,3,"If others, please specify",,otherResonNoPhoto,,text,required,data.reasonNoPhotoInd=='Others',,,,,,
memberPhoto,4,Please take a photo of the consent,,consentPhotoStatusInd,clabel20,select,required,,,,,,,
memberPhoto,5,If not taken please specify why?,,reasonNoConsentPhotoInd,clabel18,select,required,data.consentPhotoStatusInd=='Not taken',,,,,,
memberPhoto,6,"If others, please specify",,otherResonNoConsentPhoto,,text,required,data.reasonNoConsentPhotoInd=='Others',,,,,,
memberBp1,1,Blood Pressure & General Information ,,,,heading,,,,,,,,
memberBp1,2,Systolic Blood pressure 1(left arm – sitting) of the respondent (mm/Hg),,bp1Systolic,,text,"between[60:250],required",,,,,,,
memberBp1,3,Diastolic Blood pressure 1(left arm – sitting) of the respondent (mm/Hg),,bp1Diastolic,,text,"between[40:{data.bp1Systolic}],required",,,,,,,
memberBp1,4,Heart rate / min measure-1 of the respondent (Per Minute),,heartrate1,,text,"between[40:200],required",,,,,,,
memberBp1,5,What is the highest level of school education you ever received?,,education,education,select,required,,,,,,,
memberBp1,6,What is your current marital status?,,mstatus,mstatus,select,required,,,,,,,
memberBp1,7,"If married, please provide your spouse’s name?",,nameSpouse ,,text,required,data.mstatus=='Married',,,,,,
memberBp1,8,What is your current occupation?,,occupationMale,occupationMale,select,required,data.mstatus=='Married',memberMale,,,,,
memberBp1,9,What is your current occupation?,,occupationFemale,occupationFemale,select,required,data.mstatus=='Married',memberFemale,,,,,
memberBp1,10,What is your current occupation?,,occupationNeverMarried,occupationNeverMarried,select,required,data.mstatus=='Never Married',memberNeverMarried,,,,,
memberTobaccoAlcohol,1,Tobacco and Alcohol Consumption,,,,heading,,,,,,,,
memberTobaccoAlcohol,2,Current Smoker,Subjects who smokes for at least once a week for at least six months is considered to be current smoker,,,heading,,,,,,,,
memberTobaccoAlcohol,3,"Do you currently smoke tobacco on a daily basis, less than daily, or not at all?",,smokeTobacco,clabel2,select,required,,,,,,,
memberTobaccoAlcohol,4,What age did you first start smoking on most days? (In completed years),,ageStartSmoke,,text,"between[10:69],required",data.smokeTobacco=='Daily' || data.smokeTobacco=='Less than daily',,memberAgeTa,,,,
memberTobaccoAlcohol,5,"On average, how many of the following products do you smoke per day?",,,,heading,,data.smokeTobacco=='Daily',,,,,,
memberTobaccoAlcohol,6,"On average, how many of the following products do you smoke per week?",,,,heading,,data.smokeTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,7,Frequency of cigarettes (Nos.)/Day,,freqCigarettesDay,,text,"between[0:40],required",data.smokeTobacco=='Daily',,,,,,
memberTobaccoAlcohol,8,Frequency of cigarettes (Nos.)/Week,,freqCigarettesWeek,,text,"between[0:200],required",data.smokeTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,9,Frequency of bidis (Nos.)/Day,,freqBidisDay,,text,"between[0:40],required",data.smokeTobacco=='Daily',,,,,,
memberTobaccoAlcohol,10,Frequency of bidis (Nos.)/Week,,freqBidisWeek,,text,"between[0:200],required",data.smokeTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,11,Frequency of any other tobacco smoked (Nos.)/Day,,freqOtherTobaccoDay,,text,"{(data.freqCigarettesDay==0 && data.freqBidisDay==0)?'between[1:49],required':'between[0:49],required'}",data.smokeTobacco=='Daily',,,,,,
memberTobaccoAlcohol,12,Frequency of any other tobacco smoked (Nos.)/Week,,freqOtherTobaccoWeek,,text,"{(data.freqCigarettesWeek==0 && data.freqBidisWeek==0)?'between[1:200],required':'between[0:200],required'}",data.smokeTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,13,How deeply do you usually inhale the smoke?,,smokeInhale,clabel38,select,required,data.smokeTobacco=='Daily' || data.smokeTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,14,Have you always inhaled the smoking into your lung during smoking?,,smokeInhaleLung,clabel1,select,required,data.smokeInhale=='Lung',,,,,,
memberTobaccoAlcohol,15,Has your tobacco consumption changed significantly compared with that some years ago?,,tobaccoConsumpChange,clabel22,select,required,data.smokeTobacco=='Daily' || data.smokeTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,16,Past Smoker,,,,heading,,data.smokeTobacco=='Not at all' ,,,,,,
memberTobaccoAlcohol,17,Have you smoked tobacco daily in the past?,,smokeTobaccoPast,clabel4,select,required,data.smokeTobacco=='Not at all',,,,,,
memberTobaccoAlcohol,18,What age did you first start smoking on most days? (In completed years),,ageStartSmokingPast,,text,"between[10:69],required",data.smokeTobacco=='Not at all' && data.smokeTobaccoPast=='Yes',,memberAgeTa,,,,
memberTobaccoAlcohol,19,How long has it been since you stopped smoking?,,ageStopSmokingPast,,text,"between[10:{data.ageStartSmokingPast}],required",data.smokeTobacco=='Not at all' && data.smokeTobaccoPast=='Yes',,memberAge,,,,
memberTobaccoAlcohol,20,What was your main reason for stopping? (Multiple response possible) Check all that apply,,reasonStopSmoking,clabel3,multiselect,required,data.smokeTobacco=='Not at all' && data.smokeTobaccoPast=='Yes',,,,,,
memberTobaccoAlcohol,21,Passive Smoking,,,,heading,,data.smokeTobacco!='Daily' || data.smokeTobacco!='Less than daily',,,,,,
memberTobaccoAlcohol,22,Have you ever lived with smoker in the same house for at least 6  months?,,livedSmokersHome,clabel23,select,required,,,,,,,
memberTobaccoAlcohol,23,"How frequently are you exposed to other people’s tobacco smoke either at home, workplace or in public places? (i.e. a minimum of 5 consecutive minutes each time)",,exposeOtherSmoke,clabel24,select,required,,,,,,,
memberTobaccoAlcohol,24,What is the usual duration of your exposure per week? (in hours),,durationExposure,,text,"between[1:99],required",data.exposeOtherSmoke!='Never or almost never',,,,,,
memberTobaccoAlcohol,25,Current User of smokeless tobacco,,,,heading,,,,,,,,
memberTobaccoAlcohol,26,"Do you currently use smokeless (chewed) tobacco on a daily basis, less than daily, or not at all?",,smokelessTobacco,clabel2,select,required,,,,,,,
memberTobaccoAlcohol,27,What age did you first start using smokeless tobacco?,,ageStartSmokeless,,text,"between[10:69],required",data.smokelessTobacco=='Daily' || data.smokelessTobacco=='Less than daily',,memberAgeTa,,,,
memberTobaccoAlcohol,28,"On average, how many of the following products do you use per day?",,,,heading,,data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,29,"On average, how many of the following products do you use per week?",,,,heading,,data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,30,Frequency of chewing tobacco (Nos.)/Day,,freqChewTobaccoDay,,text,"between[0:40],required",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,31,Frequency of chewing tobacco (Nos.)/Week,,freqChewTobaccoWeek,,text,"between[0:200],required",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,32,Frequency of khaini or tobacco lime mix (Nos.)/Day,,freqKhainiLimemixDay,,text,"between[0:40],required",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,33,Frequency of khaini or tobacco lime mix (Nos.)/Week,,freqKhainiLimemixWeek,,text,"between[0:200],required",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,34,"Frequency of ghutka or tobacco lime, areca nut mix (Nos.)/Day",,freqGhutkaDay,,text,"between[0:40],required",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,35,"Frequency of ghutka or tobacco lime, areca nut mix (Nos.)/Week",,freqGhutkaWeek,,text,"between[0:200],required",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,36,"Frequency of oral tobacco use (as snuff, misri, qul, gudaku)? (Nos.)/Day",,freqOralTobaccoDay,,text,"between[0:40],required",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,37,"Frequency of oral tobacco use (as snuff, misri, qul, gudaku)? (Nos.)/Week",,freqOralTobaccoWeek,,text,"between[0:200],required",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,38,Frequency of pan-masala and betel quid without tobacco?(Nos.)/Day,,freqPanmasalaBetelquidDay,,text,"between[0:40],required",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,39,Frequency of pan-masala and betel quid without tobacco?(Nos.)/Week,,freqPanmasalaBetelquidWeek,,text,"between[0:200],required",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,40,Frequency of nasal use of snuff?(Nos.)/Day,,freqNasalSnuffDay,,text,"between[0:40],required",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,41,Frequency of nasal use of snuff?(Nos.)/Week,,freqNasalSnuffWeek,,text,"between[0:200],required",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,42,Frequency of other smokeless tobacco product used?(Nos.)/Day,,freqOtherSmokelessTobaccoDay,,text,"{(data.freqChewTobaccoDay==0 && data.freqKhainiLimemixDay==0 && data.freqGhutkaDay==0 && data.freqOralTobaccoDay==0 && data.freqPanmasalaBetelquidDay==0 && data.freqNasalSnuffDay)?'between[1:49],required':'between[0:49],required'}",data.smokelessTobacco=='Daily',,,,,,
memberTobaccoAlcohol,43,Frequency of other smokeless tobacco product used?(Nos.)/Week,,freqOtherSmokelessTobaccoWeek,,text,"{(data.freqChewTobaccoWeek==0 && data.freqKhainiLimemixWeek==0 && data.freqGhutkaWeek==0 && data.freqOralTobaccoWeek==0 && data.freqPanmasalaBetelquidWeek==0 && data.freqNasalSnuffWeek==0)?'between[1:200],required':'between[0:200],required'}",data.smokelessTobacco=='Less than daily',,,,,,
memberTobaccoAlcohol,44,Past User of smokeless tobacco:,,,,heading,,data.smokelessTobacco=='Not at all',,,,,,
memberTobaccoAlcohol,45,Have you used smokeless tobacco in the past?,,smokelessTobaccoPast,clabel4,select,required,data.smokelessTobacco=='Not at all',,,,,,
memberTobaccoAlcohol,46,What age did you first start using smokeless tobacco daily? (In completed years),,ageStartSmokelessTobaccoPast,,text,"between[10:69],required",data.smokelessTobacco=='Not at all' && data.smokelessTobaccoPast=='Yes',,memberAgeTa,,,,
memberTobaccoAlcohol,47,How long ago were you stopped using smokeless tobacco? (In completed years),,ageStopSmokelessTobaccoPast,,text,"between[10:{data.ageStartSmokelessTobaccoPast}],required",data.smokelessTobacco=='Not at all' && data.smokelessTobaccoPast=='Yes',,memberAge,,,,
memberTobaccoAlcohol,48,What was your main reason for stopping? (Multiple response possible) check all that apply,,reasonStopSmokelessTobacco,clabel3,multiselect,required,data.smokelessTobacco=='Not at all' && data.smokelessTobaccoPast=='Yes',,,,,,
memberTobaccoAlcohol,1,Current Alcohol Drinker:,,,,heading,,,,,,,,
memberTobaccoAlcohol,2,Have you drunk any alcohol today?,,alcoholToday,clabel4,select,required,,,,,,,
memberTobaccoAlcohol,3,Do you consume alcoholic beverages on a regular basis?,,consumeAlcohol,clabel4,select,required,,,,,,,
memberTobaccoAlcohol,4,What age did you first start drinking? (In completed years),,ageStartDrinking,,text,"between[10:69],required",data.consumeAlcohol=='Yes',,memberAgeTa,,,,
memberAlcoholFreq,1,How many days of the week (1-7) of the following products do you drink?,,,,heading,,,,,,,,
memberAlcoholFreq,2,Country Liquor/arrack/sugar cane,,countryliquor,glass,alcoholFreq,"between[0:7],required",,,,,,,
memberAlcoholFreq,3,"Spirit (Rum, Whisky, Gin, Vodka, etc.)",,sprit,shot,alcoholFreq,,,,,,,,
memberAlcoholFreq,4,Beer,,beer,bottle,alcoholFreq,,,,,,,,
memberAlcoholFreq,5,Wine,,wine,glass,alcoholFreq,,,,,,,,
memberAlcoholFreq,6,"Note: The quantity of alcohol consumption to be added: *Unit: Beer; bottle = 750 ml, 1 bottle=2 cans, 1 bottle = 4 glasses, Spirit; shot = 50 ml, 1 bottle=15 shots",,,,heading,,,,,,,,
memberAlcohol2,1,"On a typical day when you drink alcohol, when do you usually take the drink?",,timeOfDrinking,clabel25,select,required,,drinker,,,,,
memberAlcohol2,2,"During the past month, how often have you had alcohol in the morning?",,morningDrink,clabel27,select,required,,drinker,,,,,
memberAlcohol2,3,"During the past month, have you ever had the following experiences?",,,,heading,,,drinker,,,,,
memberAlcohol2,4,Unable to work or to do anything because of drinking,,unableWorkDrinking,clabel1,select,required,,drinker,,,,,
memberAlcohol2,5,"Felt depressed, irritated or couldn’t control yourself after drinking",,depressedDrinking ,clabel1,select,required,,drinker,,,,,
memberAlcohol2,6,Could not keep away from drinking,,craveDrinking,clabel1,select,required,,drinker,,,,,
memberAlcohol2,7,Had shakes when you stopped drinking,,shakeStoppedDrinking,clabel1,select,required,,drinker,,,,,
memberAlcohol2,8,Has your alcohol consumption changed significantly compared with that some years ago?,,alcoholConsumpChange,clabel22,select,required,,drinker,,,,,
memberAlcohol2,1,Past Alcohol Drinker:,,,,heading,,,non-drinker,,,,,
memberAlcohol2,2,"In the past, did you ever have a period of at least 1 year, during which you usually drank some alcohol at least once a week?",,alcoholPast,clabel4,select,required,,non-drinker,,,,,
memberAlcohol2,3,What age did you first start drinking daily? (In completed years),,ageStartAlcoholPast,,text,"between[10:69],required",data.alcoholPast=='Yes',non-drinker,memberAgeTa,,,,
memberAlcohol2,4,How long has it been since you have stopped drinking?,,ageStopAlcoholPast,,text,"between[10:{data.ageStartAlcohol}],required",data.alcoholPast=='Yes',non-drinker,memberAge,,,,
memberAlcohol2,5,Why did you stop drinking? (Multiple response possible) check all that apply,,reasonStopAlcohol,clabel3,multiselect,required,data.alcoholPast=='Yes',non-drinker,,,,,
memberAlcohol2,6,Alcohol Drinker cross verified with Wife (Asked to a married female member),,,,heading,,,marriedFemale,,,,,
memberAlcohol2,7,How many days in a week does your husband drink alcohol?,,drinkStatusHusband,clabel14,select,required,,marriedFemale,,,,,
memberAlcohol2,8,How many days per week does your husband drinks?,,freqDrinkHusband,,text,"between[1:7],required",data.drinkStatusHusband!='Does not drink at all',marriedFemale,,,,,
memberPersonalMedicalHistory,1,Personal Medical History,,,,heading,,,,,,,,
memberPersonalMedicalHistory,2,How is your current general health status? Self rated,,rateHealthStatus,rateHealthStatus,select,required,,,,,,,
memberPersonalMedicalHistory,3,How would you rate your current general health status compared to someone of your own age?,,compareHsOthers,compareHsOthers,select,required,,,,,,,
memberPersonalMedicalHistory,4,"If you were walking on level ground with other healthy people of the same age, would you usually:",,statusWalkLevelGround,clabel28,select,required,,,,,,,
memberPersonalMedicalHistory,5,"During the past 12 months, have you usually had the following symptoms?",,,,heading,,,,,,,,
memberPersonalMedicalHistory,6,Cough frequently?,,coughFrequently,clabel29,select,required,,,,,,,
memberPersonalMedicalHistory,7,Cough up sputum after getting up in the morning?,,coughSputum,clabel29,select,required,,,,,,,
memberPersonalMedicalHistory,8,Has a doctor ever told you that you have the following diseases? (Enter 0 if the disease was diagnosed <12 months),Enter 0 if the disease was diagnosed <12 months,,,heading,,,,,,,,
memberPersonalMedicalHistory,9,a. Hypertension,Hypertension (or) high blood pressure is a chronic medical condition in which the blood pressure in the arteries is elevated.,htn,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,10,Medication details ,,htnMed,,text,required,"data.htn=='Yes, on medications'",,,,,,
memberPersonalMedicalHistory,11,How long ago were you diagnosed (In completed years),,ageHtn,,text,required,"data.htn=='Yes, on medications' || data.htn=='Yes, but not on medications'",,memberAge,,,,
memberPersonalMedicalHistory,12,b. Diabetes,Diabetes is a group of metabolic diseases in which a person has high blood sugar,dm,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,13,Medication details ,,dmMed,,text,required,"data.dm=='Yes, on medications'",,,,,,
memberPersonalMedicalHistory,14,How long ago were you diagnosed (In completed years),,ageDm,,text,"between[1:69],required","data.dm=='Yes, on medications' || data.dm=='Yes, but not on medications'",,memberAge,,,,
memberPersonalMedicalHistory,15,c. Coronary Heart disease,"Heart disease is a class of diseases that involve the heart, the blood vessels (arteries,capillaries, and veins) or both",hd,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,16,Medication details ,,hdMed,,text,required,"data.hd=='Yes, on medications'",,,,,,
memberPersonalMedicalHistory,17,How long ago were you diagnosed (In completed years),,ageHd,,text,"between[1:69],required","data.hd=='Yes, on medications' || data.hd=='Yes, but not on medications'",,memberAge,,,,
memberPersonalMedicalHistory,18,d. Stroke or Transient Ischemic Attack,,stroke,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,19,Medication details ,,strokeMed,,text,required,"data.stroke=='Yes, on medications'",,,,,,
memberPersonalMedicalHistory,20,How long ago were you diagnosed (In completed years),,ageStroke,,text,"between[1:69],required","data.stroke=='Yes, on medications' || data.stroke=='Yes, but not on medications'",,memberAge,,,,
memberPersonalMedicalHistory,21,e. Rheumatic Heart disease,,rhd,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,22,f. Tuberculosis (TB),,tb,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,23,g. Asthma,"Asthma is a common chronic inflammatory disease of the airways characterized by variable and recurring symptoms, reversible airflow obstruction and bronchospasm",asthma,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,24,h. Emphysema/bronchitis,,bronchitis,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,25,i. Cirrhosis/chronic hepatitis,,hepatitis,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,26,j. Peptic ulcer,,pepticUlcer,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,27,k. Gallstone/gallbladder dis,,gallBladderDis,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,28,l. Kidney disease,,kidneyDis,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,29,m. Fracture ,,fracture,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,30,n. Rheumatoid arthritis,,ra,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,31,o. Psychiatric disorders,,psychiatricDis,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,32,p. Cancer,"Cancer is a broad group of diseases involving unregulated cell growth. In cancer, cells divide and grow uncontrollably, forming malignant tumors, which may invade nearby parts of the body",cancer,clabel5,select,required,,,,,,,
memberPersonalMedicalHistory,33,How long ago were you diagnosed (In completed years),,ageCancer,,text,"between[1:69],required","data.cancer=='Yes, on medications' || data.cancer=='Yes, but not on medications'",,memberAge,,,,
memberPersonalMedicalHistory,34,Location of the cancer,,locationCancerMale,clabel6,select,required,"data.cancer=='Yes, on medications' || data.cancer=='Yes, but not on medications'",memberMale,,,,,
memberPersonalMedicalHistory,35,Location of the cancer,,locationCancerFemale,clabel7,select,required,"data.cancer=='Yes, on medications' || data.cancer=='Yes, but not on medications'",memberFemale,,,,,
memberPersonalMedicalHistory,36,If Other Cancer Type -Specify,,otherCancer,,text,required,data.locationCancerMale=='Others' || data.locationCancerFemale=='Others',,,,,,
memberPersonalMedicalHistory,37,Did you ever have a white patch in mouth?,,whitepatchMouth,clabel1,select,required,,,,,,,
memberPersonalMedicalHistory,38,Did you ever have a red patch in mouth which bleeds on touching?,,redpatchMouth,clabel1,select,required,,,,,,,
memberPersonalMedicalHistory,39,How many blood transfusions have you ever received?,,bloodTransfusion,,text,"between[0:50],required",,,,,,,
memberPersonalMedicalHistory,40,About how often do you have bowel movements each week?,,bowelMovmentsWeek,clabel30,select,required,,,,,,,
memberReproductiveHistory,1,Reproductive History - FOR FEMALES ONLY,The questions under reproductive section should be asked to female respondents only. Female respondents should not be interviewed in presence of her husband or relative or any other person accompanying her.,,,heading,,,eligibleFemale,,,,,
memberReproductiveHistory,2,How old were you when you had your first menstrual period? (years),,ageMenarche,,text,"between[10:50],required",,eligibleFemale,,,,,
memberReproductiveHistory,3,Were your periods usually regular as current?,,periodsStatus,periodsStatus,select,required,,eligibleFemale,,,,,
memberReproductiveHistory,4,Age at menopause in years,,ageAtMenopause,,text,"between[28:69],required","data.periodsStatus=='No, had menopause' || data.periodsStatus=='Yes, had menopause'",eligibleFemale,,,,,
memberReproductiveHistory,5,How many times have you been pregnant in the past?(FOR ALL WOMEN aged 30 or higher),"Report the number of pregnancies from all marriages including pregnancies such as 1.Baby was born alive, 2.Miscarriage, 3.Abortion, 4.Current Pregnant",noTimesPregnantPast,,text,"between[0:20],required",,eligibleFemale,,,,,
memberReproductiveHistory,6,Have any of your pregnancies resulted in a miscarriage?,,miscarriage,clabel1,select,required,data.noTimesPregnantPast>0,eligibleFemale,,,,,
memberReproductiveHistory,7,"If yes, then how many?",,noOfMiscarriage,,text,"between[1:20],required",data.miscarriage=='Yes',eligibleFemale,,,,,
memberReproductiveHistory,8,Have any of your pregnancies resulted in an abortion?,,abortion,clabel1,select,required,data.noTimesPregnantPast>0,eligibleFemale,,,,,
memberReproductiveHistory,9,"If yes, then how many?",,noOfAbortion,,text,"between[1:20],required",data.abortion=='Yes',eligibleFemale,,,,,
memberReproductiveHistory,10,Age at first pregnancy? (Age in completed years),,age1stPregnant,,text,"between[{data.ageMenarche}:49],required",data.noTimesPregnantPast>0,eligibleFemale,,,,,
